"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","test_accordion_panel_mkad","test","2026-05-20","passed","2026-05-20","TestAccordion","test_accordion","",""
"","93","test_accordion_panel_amount","test","2026-05-20","passed","2026-05-20","TestAccordion","test_accordion","",""
"","151","test_accordion_panel_price","test","2026-05-20","passed","2026-05-20","TestAccordion","test_accordion","",""
"","890","test_redirect_scooter","test","2026-05-20","passed","2026-05-20","TestRedirects","test_redirects","",""
"","3936","test_scooter_order_flow[up-\u0418\u0432\u0430\u043d-\u041f\u0435\u0442\u0440\u043e\u0432-\u041b\u0435\u043d\u0438\u043d\u0430 10-89997776655]","test","2026-05-20","passed","2026-05-20","TestOrder","test_order","",""
"","90","test_accordion_panel_cancel","test","2026-05-20","passed","2026-05-20","TestAccordion","test_accordion","",""
"","82","test_accordion_panel_prolong","test","2026-05-20","passed","2026-05-20","TestAccordion","test_accordion","",""
"","2981","test_redirect_yandex","test","2026-05-20","passed","2026-05-20","TestRedirects","test_redirects","",""
"","86","test_accordion_panel_time","test","2026-05-20","passed","2026-05-20","TestAccordion","test_accordion","",""
"","102","test_accordion_panel_today","test","2026-05-20","passed","2026-05-20","TestAccordion","test_accordion","",""
"","81","test_accordion_panel_charger","test","2026-05-20","passed","2026-05-20","TestAccordion","test_accordion","",""
"","1964","test_scooter_order_flow[down-\u0418\u0440\u0438\u043d\u0430-\u0421\u0438\u0434\u043e\u0440\u043e\u0432\u0430-\u041c\u0438\u0440\u0430 5-89990005588]","test","2026-05-20","passed","2026-05-20","TestOrder","test_order","",""
